"filename", "language", "Dart", "YAML", "Markdown", "Ruby", "C++", "Swift", "XML", "Gradle", "Java Properties", "Objective-C", "CMake", "JSON", "HTML", "Java", "Kotlin", "PowerShell", "Kotlinscript", "comment", "blank", "total"
"d:\Android_Dev\Flutter\Projects\notesapp\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Android_Dev\Flutter\Projects\notesapp\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Android_Dev\Flutter\Projects\notesapp\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 0, 1, 57
"d:\Android_Dev\Flutter\Projects\notesapp\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Android_Dev\Flutter\Projects\notesapp\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 45
"d:\Android_Dev\Flutter\Projects\notesapp\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 27
"d:\Android_Dev\Flutter\Projects\notesapp\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Android_Dev\Flutter\Projects\notesapp\launcher.yaml", "YAML", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 5, 34
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\Theme\gradients.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 41
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\Theme\icon_paths.dart", "Dart", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 101
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\Theme\theme_constants.dart", "Dart", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 52
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\controllers\blurhash_service.dart", "Dart", 179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 35, 236
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\controllers\camera_handler.dart", "Dart", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 35, 191
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\controllers\isar_database.dart", "Dart", 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 132
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\controllers\media_handler.dart", "Dart", 355, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 86, 512
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\controllers\recording_handler.dart", "Dart", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 56
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\controllers\share_intent_handler.dart", "Dart", 213, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 25, 252
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\controllers\theme_provider.dart", "Dart", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 79
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\controllers\user_provider.dart", "Dart", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 49
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\extensions\chat_extensions.dart", "Dart", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\extensions\chat_list_extension.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 93, 23, 116
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\extensions\chat_list_isar_extensions.dart", "Dart", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 19, 104
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\extensions\context_extensions.dart", "Dart", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\extensions\media_extensions.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 52
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\extensions\message_extensions.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 17
"d:\Android_Dev\Flutter\Projects\notesapp\lib\core\extensions\message_list_extensions.dart", "Dart", 136, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 30, 172
